headline,date,doc_type,material_type,news_desk,section,keywords,url,id,byline
Hacks for Fixing Unexpected Wedding Day Problems,2019-06-11,article,News,Styles,Fashion & Style,['Weddings and Engagements'],https://www.nytimes.com/2019/06/11/fashion/weddings/hacks-for-fixing-unexpected-wedding-day-problems.html,nyt://article/73c35bfc-5f56-50bc-ba4f-9fffa2fe4cc1,By Hilary Sheinbaum
"Russell Harvard, Reaching Beyond ‘King Lear’",2019-06-02,article,News,Styles,Style,"['Deafness', 'ACTORS AND ACTRESSES', 'Theater']",https://www.nytimes.com/2019/06/02/style/russell-harvard-reaching-beyond-king-lear.html,nyt://article/8dafb27d-8df2-564d-bdaa-89597de386c2,By Maureen Dowd
"Mark Medoff, ‘Children of a Lesser God’ Playwright, Is Dead at 79",2019-04-24,article,Obituary (Obit),Obits,Obituaries,"['Writing and Writers', 'Deafness', 'Deaths (Obituaries)', 'Tony Awards (Theater Awards)', 'Theater']",https://www.nytimes.com/2019/04/24/obituaries/mark-medoff-dead.html,nyt://article/5c991c90-4f3e-5622-b8d2-66ef8c72d2e2,By Neil Genzlinger
"A Soldier Kills a Deaf Boy, and Rebels Respond With a Barricade of Silence",2019-04-06,article,Review,BookReview,Books,"['Books and Literature', 'Poetry and Poets']",https://www.nytimes.com/2019/04/06/books/review/ilya-kaminsky-deaf-republic-poems.html,nyt://article/10f97cb6-f43d-5bdd-b190-9eb0686fb6b4,By Karl Kirchwey
"New Emojis Are Coming: Interracial Couples, Guide Dogs, Falafel and More",2019-02-06,article,News,Express,Technology,"['Emojis and Emoticons', 'Disabilities', 'Race and Ethnicity', 'Standards and Standardization', 'Cellular Telephones', 'Gender', 'Service Dogs and Other Animals']",https://www.nytimes.com/2019/02/06/technology/new-emoji.html,nyt://article/126d6137-d747-596b-9efa-763c9e41c238,By Sarah Mervosh
Mamá to Madre? ‘Roma’ Subtitles in Spain Anger Alfonso Cuarón,2019-01-11,article,News,Culture,Movies,"['Movies', 'Language and Languages']",https://www.nytimes.com/2019/01/11/movies/roma-spanish-subtitles-alfonso-cuaron-netflix.html,nyt://article/5d95923a-6a7b-56b6-bc69-73925f66c62d,By Alex Marshall
South Korean Church Leader Sentenced to Prison in #MeToo Case,2018-11-22,article,News,Foreign,World,"['#MeToo Movement', 'Sexual Harassment', 'Sex Crimes', 'Christians and Christianity', 'Religious Cults']",https://www.nytimes.com/2018/11/22/world/asia/south-korea-pastor-rape.html,nyt://article/3edf02ad-9e0a-52ed-ada7-21f77eac86eb,By Choe Sang-Hun
How Alexandria Ocasio-Cortez Is Bringing Her Instagram Followers Into the Political Process,2018-11-16,article,News,Express,U.S.,['Social Media'],https://www.nytimes.com/2018/11/16/us/politics/ocasio-cortez-instagram-congress.html,nyt://article/d3e73d06-fef1-5843-bfb8-714252cefae9,By Talya Minsberg
The Future of Aging Just Might Be in Margaritaville,2018-11-14,multimedia,Interactive Feature,Magazine,Magazine,[],https://www.nytimes.com/interactive/2018/11/14/magazine/tech-design-longevity-margaritaville.html,nyt://interactive/10877cc2-f6ee-54d5-99d9-a91c7e980bcd,By Kim Tingley
"Bernard Bragg, Who Showed the Way for Deaf Actors, Dies at 90",2018-11-01,article,Obituary (Obit),Obits,Obituaries,"['Deafness', 'Theater', 'Mime', 'ACTORS AND ACTRESSES', 'Deaths (Obituaries)']",https://www.nytimes.com/2018/11/01/obituaries/bernard-bragg-dead.html,nyt://article/9a563feb-48cd-5dd0-bcaa-233af6146b3e,By Neil Genzlinger
