headline,date,doc_type,material_type,news_desk,section,keywords,url,id,byline
Looking Back Offers Insights And Updates,1996-12-30,article,News,Metropolitan Desk,New York,"['Accidents and Safety', 'Robberies and Thefts', 'Subways', 'Taxicabs and Taxicab Drivers', 'Murders and Attempted Murders', 'Sex Crimes', 'Transit Systems']",https://www.nytimes.com/1996/12/30/nyregion/looking-back-offers-insights-and-updates.html,nyt://article/993f76c3-c42a-50ae-a974-a5042bd92697,By Joyce Purnick
How to Disclose a Disability to Your Employer (and Whether You Should),2019-07-10,article,News,Smarter Living,Smarter Living,"['Disabilities', 'Discrimination', 'Workplace Hazards and Violations', 'Labor and Jobs', 'Hiring and Promotion']",https://www.nytimes.com/2019/07/10/smarter-living/disclose-disability-work-employer-rights.html,nyt://article/995eaf2d-f6e0-5f46-b36a-80f8405397cc,By Lizz Schumer
Further Views On the Turnpike,1990-02-25,article,Letter,New Jersey Weekly Desk,New York,"['Roads and Traffic', 'Tolls']",https://www.nytimes.com/1990/02/25/nyregion/l-further-views-on-the-turnpike-066090.html,nyt://article/99be7274-4659-5aa9-a603-0268a1b574fc,
"Catherine McKenzie, Carter Williams",2016-10-30,article,News,Society,Fashion & Style,['Weddings and Engagements'],https://www.nytimes.com/2016/10/30/fashion/weddings/catherine-mckenzie-carter-williams.html,nyt://article/99cd0785-daa9-54c7-9efe-0d7a32b37ead,
WASHINGTON ATTRACTING FILM MAKERS,1987-05-02,article,News,Cultural Desk,Movies,['MOTION PICTURES'],https://www.nytimes.com/1987/05/02/movies/washington-attracting-film-makers.html,nyt://article/99d1621b-541b-5371-a538-da1fc4190cf8,By Barbara Gamarekian
AVANG-GARDE ANTICS FOR THE ADVENTUROUS,1986-09-05,article,News,Weekend Desk,Theater,['Theater'],https://www.nytimes.com/1986/09/05/theater/avang-garde-antics-for-the-adventurous.html,nyt://article/9a4170c3-6bcd-552f-a993-e059af941a30,By Stephen Holden
"Reaching Out to Disabled Employees, With Mixed Results",2000-07-26,article,News,Workplace,Job Market,"['LABOR', 'Deafness', 'Wheelchairs', 'Law and Legislation', 'Eyes and Eyesight', 'Blindness', 'Handicapped']",https://www.nytimes.com/2000/07/26/jobs/trends-reaching-out-to-disabled-employees-with-mixed-results.html,nyt://article/9a457c8d-3b8d-5682-9d49-e8d05b17211f,By Dylan Loeb McClain
Magnet Schools and Programs Expanding,1995-08-27,article,News,Connecticut Weekly Desk,New York,"['Education and Schools', 'Equal Educational Opportunities']",https://www.nytimes.com/1995/08/27/nyregion/magnet-schools-and-programs-expanding.html,nyt://article/9a497ca8-afca-588a-8229-5818adb392b4,By Jacqueline Weaver
JERSEY FOOTLIGHTS,2002-09-15,article,News,New Jersey Weekly Desk,New York,[],https://www.nytimes.com/2002/09/15/nyregion/jersey-footlights.html,nyt://article/9a58b27a-2cb1-5744-ba9f-6e182e34f8c2,By Michelle Falkenstein
AVANT-GARDE: PEG AHRENS MIXE S MEDIA,1982-01-10,article,Review,Cultural Desk,Books,"['Music', 'RECORDINGS AND RECORDING EQUIPMENT', 'Books and Literature', 'CONCERTS AND RECITALS', '010-21-04', 'Photography', 'VIDEOTAPE']",https://www.nytimes.com/1982/01/10/books/avant-garde-peg-ahrens-mixe-s-media.html,nyt://article/9aa7b194-7bd6-5a85-818a-0594b1354ef3,By Bernard Holland
