headline,date,doc_type,material_type,news_desk,section,keywords,url,id,byline
The Presidential Election.,1864-08-10,article,Archives,None,Archives,[],https://www.nytimes.com/1864/08/10/archives/the-presidential-election.html,nyt://article/2e8738a4-a2dc-5d1a-9e4e-53e4f2cbce57,
THE GREAT PRIZE FIGHT.,1863-12-26,article,Archives,None,Archives,"['FOREIGN', 'MISCELLANEOUS']",https://www.nytimes.com/1863/12/26/archives/the-great-prize-fight.html,nyt://article/341578a7-b4ef-54c5-8454-f2e0294c7fa9,
THE REBEL RAID.; Details of the Occupation of Hagerstown.,1864-07-26,article,Archives,None,Archives,['WAR'],https://www.nytimes.com/1864/07/26/archives/the-rebel-raid-details-of-the-occupation-of-hagerstown.html,nyt://article/343d7102-eb0a-5f36-b28a-e73d3b5a63ae,
"THE BLOCKADE OFF WILMINGTON, N.C.",1862-02-16,article,Archives,None,Archives,[],https://www.nytimes.com/1862/02/16/archives/the-blockade-off-wilmington-nc.html,nyt://article/3518f23b-9a24-55f9-b92c-97e0d380f785,Correspondence of the Albany Evening Journal
THE NATIONAL CANAL CONVENTION.; Memorial to the President and Congress.,1863-10-25,article,Archives,None,Archives,['Canals'],https://www.nytimes.com/1863/10/25/archives/the-national-canal-convention-memorial-to-the-president-and.html,nyt://article/38404e5b-9f07-5cb0-baa9-d9f9ef28596c,
THE PROCEEDINGS OF CONGRESS.; Important Debate in the Senate on the Course of the French in Mexico. The Cases of the New-Orleans Representatives Reported Favorably Upon. REJECTION OF THE BANKRUPT BILL. The Proposed Submarine Telegraph to New-Orleans. SENATE. HOUSE OF REPRESENTATIVES. FRANCE AND THE UNITED STATES. Correspondence Between M. Mercier and the French Foreign Office Relative to American Affairs Object of the French Minister's Visit to England.,1863-02-04,article,Archives,None,Archives,['FOREIGN'],https://www.nytimes.com/1863/02/04/archives/the-proceedings-of-congress-important-debate-in-the-senate-on-the.html,nyt://article/38ef7962-7e5e-5905-b0b8-403b48212cd7,
DEAFNESS ITS CAUSES AND PREVENTION.,1862-05-24,article,Archives,None,Archives,[],https://www.nytimes.com/1862/05/24/archives/deafness-its-causes-and-prevention.html,nyt://article/39ced77d-7497-5a60-b5d1-4ef7c3ad0e54,
"THE STATE OF PARTY.; Speech of Hon. John J. Crittenden, at Independence, Ky. Declares for the Union under all Circumstances--A Hard Hit at Breckinridge--Balm for the Douglasites. PRESIDENTIAL.",1860-09-18,article,Archives,None,Archives,[],https://www.nytimes.com/1860/09/18/archives/the-state-of-party-speech-of-hon-john-j-crittenden-at-independence.html,nyt://article/3c95b6e9-1701-5016-8e6f-9c6f83836ed1,
"IMPORTANT FROM MEXICO.; Great Liberal Victory at Guadalajara, SUFFERING OF THE PEOPLE. Withdrawal of the British Minister from the Capital. A Reign of Terror in the City of Mexico. THE AMERICAN MINISTER AT VERA CRUZ.",1860-10-31,article,Archives,None,Archives,[],https://www.nytimes.com/1860/10/31/archives/important-from-mexico-great-liberal-victory-at-guadalajara.html,nyt://article/3d64d417-4d8e-51eb-b7d9-2382b658b452,
SENATE.(2),1860-04-18,article,Archives,None,Archives,[],https://www.nytimes.com/1860/04/18/archives/senate2.html,nyt://article/4235adac-87d7-5d97-a4e4-51e3568ef765,
Honors to Gen. Ward. HE IS ENTERTAINED AT A BANQUET BY HIS FRIENDS.; Gen. Ward Gone to Washington. The Military Reception To-Day.,1863-06-08,article,Archives,None,Archives,[],https://www.nytimes.com/1863/06/08/archives/honors-to-gen-ward-he-is-entertained-at-a-banquet-by-his-friends.html,nyt://article/423de5e0-33ec-5f6e-a48c-8b3226233f8f,
FROM ALBANY.; Legislative Recess--The Comptroller Authorized to Borrow Money--Enlargement of the Canals.,1864-02-21,article,Archives,None,Archives,[],https://www.nytimes.com/1864/02/21/archives/from-albany-legislative-recessthe-comptroller-authorized-to-borrow.html,nyt://article/449e966d-3e41-5def-ae3f-580927b1b400,Correspondence of the New-York Times
"AFFAIRS IN PARIS.; Singular Perversity of the Secessionists How the News of the National Successes is Received The English and French Letters by way of Mexico, &c.",1862-05-09,article,Archives,None,Archives,[],https://www.nytimes.com/1862/05/09/archives/affairs-in-paris-singular-perversity-of-the-secessionists-how-the.html,nyt://article/465389cf-dd27-5c4b-98ae-1e1ed330d9cb,From Our Own Correspondent
SERMON BY REV. J.R.W. SLOANE; THIRD REFORMED PRESBYTERIAN CHURCH.,1861-12-01,article,Archives,None,Archives,[],https://www.nytimes.com/1861/12/01/archives/sermon-by-rev-jrw-sloane-third-reformed-presbyterian-church.html,nyt://article/46b8a31a-e5fa-512b-8fee-694575938388,
THE CONDUCT OF MILITARY OPERATIONS.; The Duty of a General He Must Obey Orders from His Government In the FieldHe Must Act According to Circumstances Historical Examples.,1863-11-15,article,Archives,None,Archives,['WAR'],https://www.nytimes.com/1863/11/15/archives/the-conduct-of-military-operations-the-duty-of-a-general-he-must.html,nyt://article/4796b913-d102-5432-b842-6d333835ae61,
"AFFAIRS IN THE GULF.; ANOTHER REBEL RAM AND NEW GUNBOATS ON THE MISSISSIPPI. THE DEFECTION OF CAPT. WILSON, OF THE ""MINNA SCHIFFER."" MAIL COMMUNICATION BETWEEN NEW-ORLEANS AND MOBILE. REBEL OPINION OF THEIR OWN GUNBOATS. PUBLIC IMPROVEMENTS IN THE SOUTH.",1862-01-30,article,Archives,None,Archives,[],https://www.nytimes.com/1862/01/30/archives/affairs-in-the-gulf-another-rebel-ram-and-new-gunboats-on-the.html,nyt://article/4ac001f7-f6f0-5220-9653-eb6d1664ee73,
"THE STATE OF PARTY.; Speech of Hon. John J. Crittenden, at Independence, Ky. Declares for the Union under all Circumstances--A Hard Hit at Breckinridge--Balm for the Douglasites.",1860-09-18,article,Archives,None,Archives,[],https://www.nytimes.com/1860/09/18/archives/the-state-of-party-speech-of-hon-john-j-crittenden-at-independence.html,nyt://article/4b4d9f60-ea4e-5dad-ba44-3d99523d2840,
FROM CHARLESTON THROUGH BEAUFORT.; OUR PRIVATEERSMEN. GEN. BEAUREGARD AT HOUR WITH HIS SUPERIORS. SOUTH CAROLINA AND HER INVADERS. THE BATTLE OF LEESBURGH. FOREIGN MAILS FROM THE SOUTH. POST-OFFICE NOTICE. WHAT THEY ARE ABOUT IN CHARLESTON. KENTUCKY. MOVEMENTS AT THE STATE CAPITAL.,1861-11-15,article,Archives,None,Archives,[],https://www.nytimes.com/1861/11/15/archives/from-charleston-through-beaufort-our-privateersmen-gen-beauregard.html,nyt://article/4b8ec380-5df4-50e8-96d6-2bb895189353,
POLITICS IN ILLINOIS.; Bright Prospects for the Union Party The Prairie State All Alive with Excitement and Enthusiasm Great Union Gathering at Bloomington A Procession Five Miles in Length. Open Letter to Major-General George B. McClellan.,1864-10-31,article,Archives,None,Archives,[],https://www.nytimes.com/1864/10/31/archives/politics-in-illinois-bright-prospects-for-the-union-party-the.html,nyt://article/4bda4cef-3405-51bf-99e4-95ac98c7322f,
Police Reports.; A SWINDLER OF WINNING WAYS A SCORE OF VICTIMS.,1860-08-02,article,Archives,None,Archives,[],https://www.nytimes.com/1860/08/02/archives/police-reports-a-swindler-of-winning-ways-a-score-of-victims.html,nyt://article/4c9fbd37-58ef-5003-bd61-646d637e314b,
GENERAL NEWS.,1863-11-24,article,Archives,None,Archives,[],https://www.nytimes.com/1863/11/24/archives/general-news.html,nyt://article/4e73f6c5-e10c-54f5-88dc-0cd74cd67602,
NEW PUBLICATIONS.,1862-10-27,article,Archives,None,Archives,"['Poetry and Poets', 'Books and Literature']",https://www.nytimes.com/1862/10/27/archives/new-publications.html,nyt://article/4f8d6233-14dc-5abc-9de7-60c0c80f6219,
HOW COL. DE VILLIERS ESCAPED FROM THE REBELS.,1861-12-08,article,Archives,None,Archives,[],https://www.nytimes.com/1861/12/08/archives/how-col-de-villiers-escaped-from-the-rebels.html,nyt://article/4fb6b681-5e49-522a-aa46-dd8c4fea41f1,
"THE ECONOMICAL POLICY OF GREAT BRITAIN AND THE UNITED STATES.; The ""Commercial Advertiser,"" its Position Immigration Population Policy of the Democratic Party on the Tariff Its Failures, its Character Statements of Mr.Gladstone Their Mistakes British Policy is Anti-American. Shall We Have Female Doctors? The Exchange of our Prisoners. The New German Republican Daily. A Valuable Suggestion About Raising Troops.",1865-01-01,article,Archives,None,Archives,"['Newspapers', 'FOREIGN', 'MISCELLANEOUS']",https://www.nytimes.com/1865/01/01/archives/the-economical-policy-of-great-britain-and-the-united-states-the.html,nyt://article/50794a96-a556-5371-a2dd-ea4fb3fe434d,
WILMINGTON.; THE ATTACK ON FORT FISHER. Official Report from Admiral Porter. Clear Account of Our Special Correspondent. THE TERRIFIC FIRE OF THE FLEET The Guns of the Fort Completely Silenced. Landing and Reconnoissance of the Troops. They Approach the Ramparts of the Fort. Their Unexplained Withdrawal Afterward. RETURN OF GEN. BUTLER'S FORCES. Admiral Porter. GEN. BUTLER TO ADMIRAL PORTER. ADMIRAL PORTER TO GEN. BUTLER. OUR SPECIAL ACCOUNT. THE MAMMOTH EXPLOSION. THE FIRST DAY OF THE BATTLE. WILMINGTON. THE SECOND DAY. THE THIRD DAY. The Grent Torpedo.,1864-12-30,article,Archives,None,Archives,['WAR'],https://www.nytimes.com/1864/12/30/archives/wilmington-the-attack-on-fort-fisher-official-report-from-admiral.html,nyt://article/50b4f743-9171-5628-ae84-b3341480f48d,From Our Own Correspondent. WHIT
FROM ITALY.; The Roman Question and the French Pamphlet The Subject Discussed by a Roman Paper The Royal Flight from Gaeta- Opening of the Italian Parliament.,1861-03-21,article,Archives,None,Archives,[],https://www.nytimes.com/1861/03/21/archives/from-italy-the-roman-question-and-the-french-pamphlet-the-subject.html,nyt://article/51fa5425-bad8-56e9-a1f9-11489ab4faeb,From Our Own Correspondent
STATE POLITICS.; The Democratic Party and the War.,1861-08-18,article,Archives,None,Archives,[],https://www.nytimes.com/1861/08/18/archives/state-politics-the-democratic-party-and-the-war.html,nyt://article/53b5d406-c791-50b3-a161-3cb614b468e4,
"GREAT WAR MEETING IN BROOKLYN.; Kings County Aroused $200,000 to be Raised for Bounties Fifty Dollars to be Paid to Each Volunteer What Kings Country has Already Done Speech of Gen. Sickles. SPEECH OF GEN. SICKLES. BOARD OF SUPERVISORS.",1862-08-16,article,Archives,None,Archives,[],https://www.nytimes.com/1862/08/16/archives/great-war-meeting-in-brooklyn-kings-county-aroused-200000-to-be.html,nyt://article/54469d82-2a0c-549c-aed6-c3bb9896bab4,
EXCHANGE OF PRISONERS.; Important Statement by Major Gen. Hitchcock. Why the Exchange Was Stopped Rebel Subterfuges and Quibbling The Disposition Made of Colored Soldiers and Their White Officers.,1863-12-02,article,Archives,None,Archives,"['PRISONERS', 'WAR', 'Editorials']",https://www.nytimes.com/1863/12/02/archives/exchange-of-prisoners-important-statement-by-major-gen-hitchcock.html,nyt://article/546773be-2e58-573b-941c-160fa373c276,
THE OVERLAND MAIL.; The Requirements of a Better System.,1860-05-24,article,Archives,None,Archives,[],https://www.nytimes.com/1860/05/24/archives/the-overland-mail-the-requirements-of-a-better-system.html,nyt://article/563acdf2-ec6f-579a-8da7-4450c83fa37b,
"OUR WASHINGTON CORRESPONDENCE.; CROWDS IN THE HOTELS THE COMING SESSION OF CONGRESS INDICATIONS OF THE POPULAR MIND GEN. SCOTT AND THE WAR THE SPEAKERSHIP, ETC.",1861-07-04,article,Archives,None,Archives,[],https://www.nytimes.com/1861/07/04/archives/our-washington-correspondence-crowds-in-the-hotels-the-coming.html,nyt://article/564789f1-354d-5f05-a77d-8bfaa5d1d0b1,
A Forward Movement.,1862-10-14,article,Archives,None,Archives,[],https://www.nytimes.com/1862/10/14/archives/a-forward-movement.html,nyt://article/5654ca32-a461-531d-bcf1-d32213c9b31f,
THE CITY GOVERNMENT.; [OFFICIAL.] BOARD OF ALDERMEN.,1863-10-13,article,Archives,None,Archives,[],https://www.nytimes.com/1863/10/13/archives/the-city-government-official-board-of-aldermen.html,nyt://article/5734a81d-e8b5-51a9-8364-16f138945398,
