headline,date,doc_type,material_type,news_desk,section,keywords,url,id,byline
Road Bomb Kills Afghans; U.S. Airstrike Is Disputed,2009-08-05,article,News,Foreign,World,"['Civilian Casualties', 'Afghanistan War (2001- )', 'Bombs and Explosives', 'Improvised Explosive Devices']",https://www.nytimes.com/2009/08/06/world/asia/06afghan.html,nyt://article/b0823ae3-3e8c-54b5-a827-53467f080be0,By Dexter Filkins
Latest Updates on Iran’s Post-Election Crisis,2009-08-05,article,News,,Blogs,[],https://thelede.blogs.nytimes.com/2009/08/05/latest-updates-on-irans-post-election-crisis/,nyt://article/bbaf2525-a434-51da-986a-d3779e53d644,By Robert Mackey
Latest Updates on Iran's Post-Election Crisis,2009-08-05,article,Web Log,None,Blogs,[],https://thelede.blogs.nytimes.com/2009/08/05/blogs/05thelede-latest-u26021.html,nyt://article/e35a45cf-cb1c-55b2-9d8f-572bcdd64f67,By ROBERT MACKEY
Giving Voice to Helen Keller,2009-03-06,article,News,Regionals,New York,"['Blindness', 'Theater']",https://www.nytimes.com/2009/03/08/nyregion/connecticut/08spotct.html,nyt://article/a8b9fe33-f722-5dad-8c00-002740fadf38,By Jan Ellen Spiegel
"At Pinnacle, Stepping Away From Basketball",2008-10-18,article,News,Sports,Sports,"['Basketball', 'College Athletics']",https://www.nytimes.com/2008/10/19/sports/ncaabasketball/19athlete.html,nyt://article/a777c0dd-c576-5225-bfcb-a08b65ff4236,By Jeré Longman
Looking to Sweden; Ignorance about Iran; Mideast peacemaking,2008-09-24,article,News,IHT News,Opinion,[],https://www.nytimes.com/2008/09/24/opinion/24iht-edlet.1.16446164.html,nyt://article/6c2d06fb-20f3-54f0-bdd0-bc815484c557,
Spare Times: For Children,2008-08-15,article,Schedule,Weekend,Arts,[],https://www.nytimes.com/2008/08/15/arts/15wkids.html,nyt://article/c37f8692-c7ea-5297-8533-189613a8710e,By Laurel Graeber
Spare Times: For Children,2008-07-18,article,Schedule,Weekend,Arts,[],https://www.nytimes.com/2008/07/18/arts/18wkids.html,nyt://article/47c4e19d-8ea8-59b5-8124-f7472d7be7b9,By Laurel Graeber
"Rural Argentina, once a solid government supporter, is now a fierce opponent",2008-07-02,article,News,IHT News,World,[],https://www.nytimes.com/2008/07/02/world/americas/02iht-02argentina.14157734.html,nyt://article/341d4378-c668-57c2-87f5-1795642c0a1f,By Alexei Barrionuevo
"Once a Government Supporter, Rural Argentina Now an Opponent",2008-07-02,article,News,Foreign,World,"['Farmers', 'International Trade and World Market', 'Rural Areas', 'Taxation', 'AGRICULTURE', 'Politics and Government']",https://www.nytimes.com/2008/07/02/world/americas/02argentina.html,nyt://article/d08adcb3-6938-535f-9826-cb6e542d67c9,By Alexei Barrionuevo
Sand Mine’s Overhaul Is Entering a New Phase,2008-06-08,article,News,Regionals,New York,"['Sand and Gravel', 'Mines and Mining']",https://www.nytimes.com/2008/06/08/nyregion/nyregionspecial2/08sandli.html,nyt://article/088ffd21-cc1d-5620-91a9-b940319df196,By Matt Mabe
A Miracle Indeed,2008-02-03,article,Review,Regionals,New York,['Theater'],https://www.nytimes.com/2008/02/03/nyregion/nyregionspecial2/03theaternj.html,nyt://article/a4740ceb-69b1-586e-8f53-bf7f00887fb7,By Naomi Siegel
A Symbol of Activism Is at Center of Court Dispute,2007-11-18,article,News,Metro,New York,"['Blacks', 'Black People']",https://www.nytimes.com/2007/11/18/nyregion/18slave.html,nyt://article/7a1ebe8f-6d4c-5c64-922e-ebb4e0bafe1d,By Trymaine Lee
"Emily Gitter, Ryan Sager",2007-07-08,article,News,Society,Fashion & Style,[],https://www.nytimes.com/2007/07/08/fashion/weddings/08gitter.html,nyt://article/d3fcff4e-d25f-5eaa-8c82-6509d9d9cc09,
Can Common Sense Be Legislated?,2007-02-12,article,News,Business,Technology,"['Accidents and Safety', 'Computers and the Internet']",https://www.nytimes.com/2007/02/12/technology/12link.html,nyt://article/66a0a945-2870-5009-b850-bf74ced340f0,By Tom Zeller Jr
Pope Benedict XVI Names 4 to Sainthood,2006-10-16,article,News,Foreign Desk,Education,"['Education and Schools', 'Beatifications and Canonizations', 'Nuns']",https://www.nytimes.com/2006/10/16/world/europe/pope-benedict-xvi-names-4-to-sainthood.html,nyt://article/21603a07-a701-5074-89d5-827ce8ae0982,By Ian Fisher
